Short_name,Date,Cell_Id,Site_Id,Tech,MV_4G_Data_Volume_GB,MV_PUSCH_SINR,MV_NW_Avg_Connected_User,MV_E_UTRAN_Average_CQI,DL_PRB_Utilisation,Average_UE_Distance_KM,MV_Packet_Loss_DL,MV_Packet_Loss_UL,MV_Radio_NW_Availability,MV_VoLTE_DCR,VoLTE_ERAB_Setup_Success_Rate,VoLTE_InterF_HOSR,VoLTE_IntraF_HOSR_CBBH,UL_User_Throughput_Kbps,PS_IntraF_HOSR_CDBH,PS_InterF_HOSR,RRC_Setup_Success_Rate,MV_ERAB_Setup_Success_Rate,MV_DL_User_Throughput_Mbps,MV__RSRP_Sample__110_dBm,MV_PS_Drop_Call_Rate,MV_VoLTE_CSSR,Avg_RSSI_PUSCH,Avg_RSSI_PUCCH,UL_NI_RSSI_SINR,MV_VoLTE_Packet_Loss_DL,MV_VoLTE_Packet_Loss_UL
GZB_A_L18_1,2026-08-28,101,1001,LTE,12.5,9.8,42,11.1,72,1.5,0.2,0.1,99.8,0.3,98.5,96.2,95.9,8450,94.5,95.1,99.2,98.8,18.4,3.1,0.4,98.9,-105,-109,7.4,0.05,0.04
GZB_A_L18_2,2026-08-28,102,1001,LTE,8.4,7.2,58,9.8,81,2.4,0.9,0.6,99.3,0.9,96.8,92.1,90.4,6120,90.8,88.6,98.1,96.7,14.6,7.8,1.2,96.4,-101,-106,5.9,0.12,0.11
GZB_A_L18_3,2026-08-28,103,1001,LTE,5.9,4.8,66,8.4,89,3.8,1.6,1.1,98.7,1.7,94.2,88.9,86.5,4980,86.1,84.7,96.9,94.1,11.3,12.4,2.1,93.7,-97,-102,4.2,0.24,0.22
GZB_A_L18_4,2026-08-28,104,1001,LTE,4.7,3.9,71,7.9,93,4.5,2.2,1.6,98.1,2.4,92.7,84.8,83.6,4420,82.7,80.9,95.8,92.4,9.6,15.7,3.0,91.5,-94,-100,3.6,0.31,0.28
NOI_B_L18_1,2026-08-28,201,2001,LTE,10.8,8.4,49,10.2,77,1.8,0.4,0.3,99.6,0.5,97.8,94.1,93.2,7310,91.4,90.5,98.8,97.6,16.9,5.2,0.7,97.1,-103,-108,6.8,0.08,0.07
NOI_B_L18_2,2026-08-28,202,2001,LTE,6.6,5.1,61,8.6,88,3.3,1.1,0.9,98.8,1.3,95.1,89.8,88.6,5380,87.2,85.5,97.4,95.5,12.7,10.9,1.8,94.6,-99,-104,4.8,0.18,0.16
NOI_B_L18_3,2026-08-28,203,2001,LTE,4.9,3.5,74,7.1,95,5.1,2.6,1.9,97.9,2.8,91.6,83.5,81.9,4060,80.8,79.2,95.0,91.8,8.4,18.3,3.8,90.4,-92,-98,3.1,0.35,0.32
NOI_B_L18_4,2026-08-28,204,2001,LTE,3.8,2.9,79,6.5,97,5.8,3.2,2.4,97.1,3.5,89.8,81.4,79.6,3680,78.1,76.5,93.7,89.6,6.9,21.4,4.5,88.8,-89,-95,2.7,0.42,0.39
DEL_C_L18_1,2026-08-28,301,3001,LTE,11.9,9.1,44,10.8,74,1.2,0.3,0.2,99.7,0.4,98.2,95.4,94.6,7980,92.1,91.2,99.0,97.9,17.8,4.4,0.5,97.8,-104,-108,7.1,0.06,0.05
DEL_C_L18_2,2026-08-28,302,3001,LTE,7.3,6.0,57,9.3,83,2.9,0.8,0.7,99.1,1.1,96.0,90.7,89.5,5840,88.9,86.9,97.8,96.1,13.8,8.5,1.5,95.5,-100,-105,5.3,0.14,0.13
DEL_C_L18_3,2026-08-28,303,3001,LTE,5.1,4.2,69,7.7,91,4.0,1.9,1.4,98.4,2.1,93.4,86.4,85.0,4610,84.2,82.7,96.4,93.2,10.1,14.2,2.6,92.8,-96,-101,3.9,0.28,0.26
DEL_C_L18_4,2026-08-28,304,3001,LTE,4.0,3.3,73,7.0,94,4.8,2.4,1.8,97.8,2.9,90.9,82.7,80.2,3970,79.8,77.9,94.8,90.7,7.8,17.9,3.4,89.9,-93,-99,3.0,0.36,0.33
