Cell_Name,SI_CI,EGCI,SuNetwork_ID,SITEID,Site_Name,Cell_ID,SEC_ID,Sector,lon,lat,TAC,PCI,AZIMUTH,Antenna_Height,M_tilt,E_tilt,TX_RX,EARFCN,Band,Technology,Region,Cluster
GZB_A_L18_1,1001-101,404010000001001,GZB,1001,GZB_A,101,1,A,77.4121,28.6734,12001,321,40,30,2,4,2T2R,1850,L18,LTE,Delhi NCR,Cluster_GZB
GZB_A_L18_2,1001-102,404010000001002,GZB,1001,GZB_A,102,1,B,77.4178,28.6702,12001,321,218,30,2,4,2T2R,1850,L18,LTE,Delhi NCR,Cluster_GZB
GZB_A_L18_3,1001-103,404010000001003,GZB,1001,GZB_A,103,1,C,77.4064,28.6678,12001,322,102,30,2,4,2T2R,1850,L18,LTE,Delhi NCR,Cluster_GZB
GZB_A_L18_4,1001-104,404010000001004,GZB,1001,GZB_A,104,1,D,77.4015,28.6641,12001,323,286,30,2,4,2T2R,1850,L18,LTE,Delhi NCR,Cluster_GZB
NOI_B_L18_1,2001-201,404010000002001,NOI,2001,NOI_B,201,2,A,77.3962,28.6559,12002,321,58,28,3,2,2T2R,1850,L18,LTE,Delhi NCR,Cluster_NOIDA
NOI_B_L18_2,2001-202,404010000002002,NOI,2001,NOI_B,202,2,B,77.4019,28.6527,12002,322,240,28,3,2,2T2R,1850,L18,LTE,Delhi NCR,Cluster_NOIDA
NOI_B_L18_3,2001-203,404010000002003,NOI,2001,NOI_B,203,2,C,77.3904,28.6498,12002,324,140,28,3,2,2T2R,1850,L18,LTE,Delhi NCR,Cluster_NOIDA
NOI_B_L18_4,2001-204,404010000002004,NOI,2001,NOI_B,204,2,D,77.3848,28.6463,12002,325,312,28,3,2,2T2R,1850,L18,LTE,Delhi NCR,Cluster_NOIDA
DEL_C_L18_1,3001-301,404010000003001,DEL,3001,DEL_C,301,3,A,77.3675,28.6394,12003,321,35,32,1,2,4T4R,1850,L18,LTE,Delhi NCR,Cluster_DELHI
DEL_C_L18_2,3001-302,404010000003002,DEL,3001,DEL_C,302,3,B,77.3728,28.6358,12003,326,220,32,1,2,4T4R,1850,L18,LTE,Delhi NCR,Cluster_DELHI
DEL_C_L18_3,3001-303,404010000003003,DEL,3001,DEL_C,303,3,C,77.3619,28.6321,12003,321,110,32,1,2,4T4R,1850,L18,LTE,Delhi NCR,Cluster_DELHI
DEL_C_L18_4,3001-304,404010000003004,DEL,3001,DEL_C,304,3,D,77.3566,28.6289,12003,327,278,32,1,2,4T4R,1850,L18,LTE,Delhi NCR,Cluster_DELHI
